worlwide_gross_income,imdb_mean_vote,quantity
640568144.0,7.6,3.0
637758902.0,6.6,2.0
621897551.0,7.2,1.0
621897551.0,7.2,1.0
621897551.0,7.2,1.0
621897551.0,7.2,1.0
621897551.0,7.2,1.0
621503143.0,7.1,1.0
621503143.0,7.1,1.0
621503143.0,7.1,1.0
621503143.0,7.1,1.0
621503143.0,7.1,1.0
621503143.0,7.1,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
612414453.0,6.2,1.0
609718877.0,7.4,1.0
609718877.0,7.4,1.0
603038092.0,7.2,2.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
602781247.0,8.2,1.0
597352431.0,7.9,2.0
595418722.0,7.2,3.0
593018018.0,7.6,1.0
593018018.0,7.6,1.0
593018018.0,7.6,1.0
593018018.0,7.6,1.0
591920787.0,8.0,3.0
587491046.0,7.3,14.0
585832034.0,7.2,4.0
585825632.0,7.9,1.0
583040894.0,5.1,1.0
583040894.0,5.1,1.0
583040894.0,5.1,1.0
580777533.0,7.6,2.0
577901899.0,5.2,2.0
577901899.0,5.2,2.0
577901899.0,5.2,2.0
576536221.0,7.4,4.0
575209309.0,6.7,2.0
573372808.0,7.5,7.0
572762904.0,5.4,1.0
572762904.0,5.4,1.0
572762904.0,5.4,1.0
571328485.0,8.6,1.0
571328485.0,8.6,1.0
571328485.0,8.6,1.0
571328485.0,8.6,1.0
560587133.0,7.7,2.0
559827641.0,7.5,1.0
559827641.0,7.5,1.0
559827641.0,7.5,1.0
559827641.0,7.5,1.0
559827641.0,7.5,1.0
559301395.0,6.6,2.0
559135032.0,6.6,1.0
559135032.0,6.6,1.0
558707727.0,7.2,2.0
556630575.0,7.3,12.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
556148150.0,8.7,1.0
543800480.0,6.4,2.0
542071358.0,7.2,4.0
539451879.0,8.0,1.0
539451879.0,8.0,1.0
539451879.0,8.0,1.0
539451879.0,8.0,1.0
539451879.0,8.0,1.0
539451879.0,8.0,1.0
537603056.0,6.4,2.0
537172581.0,7.4,4.0
534371305.0,6.7,2.0
529237481.0,6.6,2.0
521194346.0,7.2,4.0
518868051.0,7.6,2.0
518031881.0,7.7,1.0
518031881.0,7.7,1.0
516143610.0,6.5,1.0
516143610.0,6.5,1.0
516143610.0,6.5,1.0
516143610.0,6.5,1.0
516143610.0,6.5,1.0
516143610.0,6.5,1.0
515278660.0,7.4,18.0
515128486.0,8.2,2.0
513904120.0,8.2,3.0
512885801.0,7.2,3.0
511701956.0,6.9,1.0
511701956.0,6.9,1.0
511701956.0,6.9,1.0
511701956.0,6.9,1.0
511625331.0,7.1,1.0
511455389.0,8.0,1.0
511455389.0,8.0,1.0
511455389.0,8.0,1.0
511455389.0,8.0,1.0
510592793.0,7.2,1.0
509810382.0,8.4,2.0
509544479.0,6.8,4.0
505317764.0,6.5,2.0
502994565.0,7.3,5.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
500126309.0,6.7,1.0
497086542.0,7.5,3.0
495989126.0,7.6,2.0
489314323.0,7.3,4.0
487337657.0,7.0,3.0
483455995.0,6.7,1.0
483455995.0,6.7,1.0
483455995.0,6.7,1.0
483300241.0,7.3,1.0
483300241.0,7.3,1.0
